AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,AM
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,35-3041,"Food Servers, Nonrestaurant",detailed,"19,800",4.4,"39,840",1.7,"29,400","33,280",39.84
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"30,360",8.1,"44,390",4.3,"29,550","31,970",44.39
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,35-9021,Dishwashers,detailed,"23,600",5.9,"37,020",2.8,"29,550","31,660",37.02
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"17,480",6.1,"36,570",1.6,"27,570","30,560",36.57
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,"6,540",18.2,"33,930",4,"27,370","28,130",33.93
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"295,100",0.9,"43,840",0.6,"30,630","34,150",43.84
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"10,110",5.2,"61,090",2,"38,810","46,690",61.09
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,"6,120",6.9,"68,550",2.4,"44,650","54,210",68.55
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"185,620",1.4,"41,890",0.6,"30,180","33,530",41.89
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-2012,Maids and Housekeeping Cleaners,detailed,"36,430",3.8,"44,510",1.5,"30,190","33,970",44.51
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-2019,"Building Cleaning Workers, All Other",detailed,**,**,"45,390",6.9,"38,470","40,580",45.39
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-2021,Pest Control Workers,detailed,"4,190",3,"49,600",1.6,"36,620","44,390",49.6
